latitude,longitude
18.55534,73.93024
18.56038,73.99686
18.69338,73.7592
18.66393,73.83349
18.46153,74.04129
18.69708,73.99977
18.59215,73.96914
18.64858,73.94893
18.41677,73.94351
18.64162,73.8767
18.43151,73.75794
18.52143,73.97123
18.69665,73.77158
18.48013,73.98941
18.6106,74.03566
18.46024,73.96686
18.43273,73.87768
18.61449,73.98311
18.50527,73.86592
18.40561,73.9285
18.53153,73.90652
18.61487,73.97342
18.44375,73.83718
18.4195,73.86237
18.68783,73.97952
18.57371,73.91599
18.47659,73.87545
18.54278,73.83437
18.65593,73.78311
18.58343,73.86303
18.58823,73.86922
18.53458,73.9172
18.43061,73.75577
18.54292,73.95312
18.50483,74.00888
18.42519,73.83412
18.4507,73.87798
18.63021,73.94985
18.6136,73.80349
18.48959,74.02809
18.69858,73.75345
18.44045,73.97201
18.61817,73.80402
18.69269,73.89997
18.44129,73.90691
18.67892,73.97966
18.49622,73.97295
18.41562,73.79721
18.5763,73.89843
18.64541,73.93173
18.54637,74.03086
18.66995,73.99862
18.48995,74.01067
18.65542,73.84489
18.527,73.95499
18.45134,73.95255
18.65391,73.88635
18.45356,73.7764
18.66789,73.92105
18.64066,73.93317
18.42232,73.84265
18.5994,73.85246
18.63159,73.97707
18.58282,74.04993
18.41111,74.00113
18.4827,73.76157
18.51303,74.04238
18.6009,73.92637
18.53693,73.84435
18.44125,74.01958
18.55234,73.89395
18.43092,74.03196
18.62582,73.95267
18.64025,73.97763
18.55043,73.83962
18.48202,73.87521
18.47276,74.0043
18.67893,73.91011
18.47662,73.85517
18.57578,73.86227
18.47887,73.91899
18.50082,73.93005
18.63938,74.03119
18.66667,73.75096
18.4268,73.83657
18.6863,73.81003
18.47844,73.78297
18.67422,73.89032
18.474,73.85205
18.62953,73.963
18.66534,73.89951
18.61449,73.94354
18.43864,73.83832
18.51652,73.99697
18.45518,74.01748
18.57884,74.01673
18.68217,73.82009
18.56231,73.98196
18.68299,73.89722
18.53094,74.04197
18.46688,73.99889
18.51606,74.00117
18.65409,73.82967
18.67388,74.04524
18.55189,74.01824
18.45153,73.8453
18.59497,73.82541
18.4216,73.75071
18.44155,73.98668
18.51254,73.99371
18.45374,74.04893
18.62588,73.97177
18.48127,74.04677
18.47884,73.7683
18.53576,73.92202
18.44161,73.86531
18.43457,74.03933
18.51356,73.77199
18.44257,73.84638
18.65064,73.81402
18.55531,73.99788
18.66944,73.87454
18.65738,73.82936
18.49603,74.01564
18.69335,73.78694
18.65351,74.03752
18.5552,73.94696
18.594,73.7915
18.69508,73.96811
18.41418,73.83589
18.4939,73.98719
18.61183,73.87272
18.63024,73.78781
18.44007,73.88107
18.51842,73.80048
18.6788,73.87364
18.67378,73.93452
18.55641,73.86755
18.49204,73.88155
18.52964,73.82452
18.6527,73.96175
18.69451,74.01694
18.54581,74.00319
18.61197,74.04008
18.63802,73.99205
18.47162,74.01216
18.55914,73.92412
18.54875,73.82373
18.57983,74.03001
18.6935,73.92361
18.54481,73.99106
18.64059,73.84359
18.48478,74.00107
18.55419,73.93688
18.50124,73.97701
18.69612,73.88144
18.50357,73.83576
18.54756,73.87131
18.46324,73.98825
18.66358,73.81839
18.53591,73.97598
18.46599,73.80128
18.48433,74.02674
18.56566,73.85355
18.42304,73.92245
18.68286,73.76073
18.46478,73.83409
18.67193,73.90491
18.47458,73.87157
18.57767,74.01421
18.4591,74.01127
18.67441,73.90823
18.49554,73.79544
18.53471,73.91467
18.65841,73.8069
18.45045,73.81173
18.57596,73.85299
18.66447,73.8595
18.40276,74.02685
18.52113,73.87743
18.61249,73.79668
18.44265,73.92207
18.55177,73.88411
18.56156,73.89044
18.48732,74.01601
18.54218,73.80907
18.52219,73.81082
18.66955,73.76374
18.41856,73.8291
18.65041,74.01996
18.47033,74.01034
18.53307,74.01103
18.40303,73.7704
18.52898,74.007
18.60635,73.94083
18.52736,73.99036
18.55741,73.8277
18.49078,73.76196
18.41547,73.95414
18.56892,74.00846
18.57248,73.98837
18.50667,73.89801
18.40671,73.78527
18.61461,74.0023
18.67826,73.79755
18.49953,73.84519
18.592,74.03149
18.52079,73.84623
18.54592,73.97379
18.60466,73.83694
18.4438,73.79112
18.59877,73.97894
18.54531,73.94298
18.66009,73.98913
18.67089,74.03495
18.41817,74.03247
18.50564,73.92815
18.56668,73.83456
18.63421,74.00846
18.48979,73.92512
18.60812,74.02187
18.54132,73.95255
18.43858,73.81157
18.57075,73.94337
18.4489,73.79216
18.68909,73.90964
18.52235,74.02133
18.62968,73.96532
18.62824,73.89997
18.4835,73.85182
18.59012,73.9106
18.54591,73.7792
18.65601,73.96917
18.53126,73.79555
18.6738,73.87847
18.43616,73.85102
18.53252,73.93535
18.48964,73.8501
18.53111,73.75265
18.43297,74.01952
18.68746,73.95976
18.58743,73.9493
18.68604,73.8984
18.61406,74.02657
18.43537,73.76042
18.55906,73.95457
18.54995,73.97595
18.49686,74.01864
18.40725,73.7983
18.55032,73.89722
